Colorado,2004,Male,24,White,Unknown,Male,26,White,Yes
Indiana,2004,Male,22,Black,Unknown,Male,23,Black,Yes
California,2004,Male,31,Asian/Pacific Islander,Not Hispanic,Male,25,Asian/Pacific Islander,Yes
Michigan,2004,Male,33,Black,Unknown,Unknown,0,Unknown,No
Tennessee,2004,Female,1,White,Unknown,Male,25,White,Yes
Pennsylvania,2004,Male,99,Black,Not Hispanic,Female,47,White,Yes
California,2004,Male,17,Black,Not Hispanic,Unknown,0,Unknown,No
Texas,2004,Male,30,White,Not Hispanic,Male,0,White,Yes
Michigan,2004,Male,32,Black,Unknown,Unknown,0,Unknown,No
California,2004,Male,33,White,Hispanic,Unknown,0,Unknown,No
Michigan,2004,Male,27,Black,Unknown,Male,19,Black,Yes
Mississippi,2004,Male,55,White,Unknown,Unknown,0,Unknown,No
Florida,2004,Female,13,White,Unknown,Male,0,White,Yes
California,2004,Male,34,Black,Not Hispanic,Unknown,0,Unknown,No
Connecticut,2004,Male,39,Black,Unknown,Male,0,Unknown,Yes
Wisconsin,2004,Male,67,White,Unknown,Male,31,White,Yes
New York,2004,Male,22,White,Unknown,Unknown,0,Unknown,No
Ohio,2004,Male,24,Black,Unknown,Female,24,Black,Yes
North Carolina,2004,Male,27,Black,Unknown,Male,27,Black,Yes
Pennsylvania,2004,Male,38,Black,Not Hispanic,Male,0,Black,Yes
Virginia,2004,Male,30,Black,Unknown,Male,22,Black,Yes
California,2004,Male,22,Unknown,Unknown,Male,19,Black,Yes
District of Columbia,2004,Male,18,Black,Not Hispanic,Unknown,0,Unknown,No
North Carolina,2004,Male,45,White,Unknown,Male,60,White,Yes
New York,2004,Male,45,Black,Unknown,Female,23,Black,Yes
Pennsylvania,2004,Female,46,White,Not Hispanic,Male,30,Black,Yes
Alabama,2004,Male,25,Black,Unknown,Male,0,Black,Yes
District of Columbia,2004,Male,24,Black,Not Hispanic,Male,24,Black,Yes
Connecticut,2004,Male,34,White,Unknown,Male,34,White,Yes
Florida,2004,Male,17,Black,Unknown,Male,25,Black,Yes
Florida,2004,Male,16,White,Unknown,Male,0,Black,Yes
California,2004,Male,19,White,Hispanic,Male,21,White,Yes
Michigan,2004,Female,3,White,Unknown,Male,31,White,Yes
Oklahoma,2004,Male,24,White,Unknown,Male,38,White,Yes
Louisiana,2004,Male,19,Black,Unknown,Male,25,Black,Yes
Michigan,2004,Male,30,Black,Unknown,Unknown,0,Unknown,No
California,2004,Male,29,White,Hispanic,Unknown,0,Unknown,No
Pennsylvania,2004,Male,37,Black,Not Hispanic,Unknown,0,Unknown,No
California,2004,Male,17,Black,Not Hispanic,Unknown,0,Unknown,No
Tennessee,2004,Male,16,White,Unknown,Male,16,White,Yes
Kentucky,2004,Male,18,White,Unknown,Male,18,White,Yes
New Jersey,2004,Male,31,White,Unknown,Unknown,0,Unknown,No
Louisiana,2004,Female,28,Black,Unknown,Male,34,Black,Yes
Arizona,2004,Male,56,White,Not Hispanic,Male,29,White,Yes
Pennsylvania,2004,Female,28,Black,Not Hispanic,Male,33,Black,Yes
California,2004,Male,31,White,Hispanic,Unknown,0,Unknown,No
Ohio,2004,Male,48,Black,Unknown,Male,52,Black,Yes
Iowa,2004,Male,49,White,Unknown,Male,23,White,Yes
Pennsylvania,2004,Male,23,Black,Not Hispanic,Male,38,Black,Yes
North Carolina,2004,Male,50,Black,Unknown,Unknown,0,Unknown,No
Maryland,2004,Male,21,Black,Unknown,Male,21,Black,Yes
California,2004,Male,49,White,Not Hispanic,Male,37,Black,Yes
California,2004,Male,18,White,Not Hispanic,Female,30,White,Yes
Virginia,2004,Female,41,Black,Unknown,Male,41,Black,Yes
Arizona,2004,Male,29,White,Hispanic,Male,0,White,Yes
North Carolina,2004,Male,45,Black,Unknown,Unknown,0,Unknown,No
Michigan,2004,Male,29,Black,Unknown,Male,0,Black,Yes
Oklahoma,2004,Male,4,White,Unknown,Female,39,White,Yes
Texas,2004,Male,18,White,Hispanic,Unknown,0,Unknown,No
Oregon,2004,Male,22,White,Not Hispanic,Male,34,Asian/Pacific Islander,Yes
Ohio,2004,Female,79,White,Unknown,Male,85,White,Yes
Ohio,2004,Female,27,Black,Unknown,Unknown,0,Unknown,No
Michigan,2004,Male,21,Black,Unknown,Unknown,0,Unknown,No
South Carolina,2004,Male,31,Black,Unknown,Male,28,Black,Yes
New Mexico,2004,Female,62,White,Unknown,Unknown,0,Unknown,No
California,2004,Male,19,Asian/Pacific Islander,Not Hispanic,Male,30,White,Yes
New York,2004,Female,17,White,Unknown,Male,21,White,Yes
Indiana,2004,Female,55,Black,Unknown,Unknown,0,Unknown,No
Alabama,2004,Female,32,Black,Unknown,Male,22,Black,Yes
Ohio,2004,Female,43,White,Unknown,Unknown,0,Unknown,No
Colorado,2004,Male,30,Black,Unknown,Male,21,Black,Yes
New York,2004,Male,29,White,Unknown,Male,26,White,Yes
Arizona,2004,Male,99,White,Hispanic,Male,0,White,Yes
Massachusetts,2004,Male,61,Asian/Pacific Islander,Unknown,Male,18,White,Yes
Oregon,2004,Male,2,White,Unknown,Male,34,White,Yes
Maryland,2004,Male,33,Black,Unknown,Male,0,Black,Yes
Georgia,2004,Male,33,White,Not Hispanic,Male,38,Black,Yes
North Carolina,2004,Female,43,White,Unknown,Male,33,White,Yes
Iowa,2004,Female,21,White,Unknown,Male,16,White,Yes
Missouri,2004,Male,45,White,Not Hispanic,Male,56,White,Yes
New York,2004,Male,24,Black,Unknown,Female,27,Black,Yes
Maryland,2004,Male,26,Black,Unknown,Unknown,0,Unknown,No
New York,2004,Male,32,Black,Unknown,Unknown,0,Unknown,No
Texas,2004,Male,49,White,Not Hispanic,Unknown,0,Unknown,No
Tennessee,2004,Male,45,White,Unknown,Male,23,Black,Yes
New York,2004,Male,21,Black,Unknown,Unknown,0,Unknown,No
Texas,2004,Female,33,White,Hispanic,Male,20,White,Yes
Pennsylvania,2004,Male,27,Black,Not Hispanic,Male,38,Black,Yes
New York,2004,Male,31,Black,Unknown,Unknown,0,Unknown,No
Florida,2004,Male,25,White,Unknown,Unknown,0,Unknown,No
Maryland,2004,Male,28,Black,Unknown,Unknown,0,Unknown,No
New York,2004,Male,46,White,Unknown,Male,53,White,Yes
