Nevada,2007,51-60,3
Alabama,2010,31-40,2
District of Columbia,2005,above 90,1
Oklahoma,2012,41-50,7
South Dakota,2014,71-80,1
Hawaii,2010,above 90,1
California,2013,0-10,6
Missouri,2014,11-20,5
Texas,2011,11-20,11
Tennessee,2004,0-10,1
Texas,2010,21-30,43
Virginia,2005,21-30,18
Oregon,2009,21-30,2
Maryland,2004,21-30,17
Georgia,2004,31-40,7
Ohio,2005,21-30,17
Indiana,2004,11-20,5
Colorado,2011,71-80,1
Arkansas,2007,31-40,6
Wisconsin,2014,51-60,1
Mississippi,2004,21-30,4
North Carolina,2014,11-20,6
Maryland,2008,11-20,10
North Dakota,2004,21-30,1
Nevada,2005,21-30,9
Louisiana,2011,31-40,10
Arizona,2007,31-40,16
Arkansas,2010,11-20,2
California,2004,0-10,9
Georgia,2009,31-40,5
New Mexico,2007,41-50,2
California,2006,61-70,2
Connecticut,2005,31-40,4
New Mexico,2006,51-60,1
Arkansas,2007,21-30,7
Kansas,2014,21-30,3
New York,2011,21-30,23
Mississippi,2010,above 90,1
Washington,2014,41-50,5
Texas,2006,61-70,5
New Jersey,2012,61-70,1
Kansas,2006,21-30,3
Pennsylvania,2010,31-40,11
New Jersey,2004,21-30,18
Georgia,2004,above 90,4
Arkansas,2012,21-30,6
South Dakota,2006,31-40,1
Tennessee,2014,51-60,2
Utah,2005,above 90,2
Ohio,2011,0-10,2
Mississippi,2014,11-20,4
Alaska,2010,21-30,3
Louisiana,2009,21-30,17
South Carolina,2004,0-10,1
Michigan,2014,21-30,16
Pennsylvania,2014,51-60,6
Nevada,2005,above 90,4
Arizona,2007,11-20,5
South Carolina,2004,41-50,5
Wisconsin,2009,21-30,5
California,2005,above 90,15
Tennessee,2012,11-20,5
Massachusetts,2012,31-40,2
Oregon,2009,51-60,1
New Mexico,2004,21-30,8
Michigan,2006,above 90,14
Indiana,2014,0-10,2
Kentucky,2012,51-60,2
Missouri,2008,51-60,5
Texas,2008,51-60,12
South Carolina,2014,31-40,9
Texas,2010,11-20,18
Arkansas,2013,above 90,2
New York,2014,41-50,8
Louisiana,2006,31-40,11
New Mexico,2004,51-60,1
Arkansas,2014,31-40,1
Georgia,2013,51-60,3
Washington,2012,21-30,9
Kansas,2004,above 90,1
Maine,2012,31-40,1
Tennessee,2005,21-30,15
West Virginia,2008,51-60,3
Illinois,2009,above 90,1
Arizona,2008,71-80,1
Arizona,2013,61-70,2
New Jersey,2008,11-20,4
Maine,2010,21-30,2
Tennessee,2006,above 90,5
Kansas,2005,11-20,3
Kansas,2008,11-20,1
North Carolina,2005,71-80,3
New Jersey,2012,41-50,2
California,2011,above 90,9
Texas,2011,above 90,8
Indiana,2005,61-70,1
Washington,2014,31-40,2
Illinois,2007,61-70,1
South Carolina,2009,61-70,1
Missouri,2004,71-80,1
New York,2011,0-10,3
South Carolina,2009,41-50,4
Virginia,2008,81-90,1
Michigan,2008,21-30,14
Alabama,2005,61-70,1
Louisiana,2008,31-40,4
Montana,2005,51-60,1
Louisiana,2008,61-70,1
New Mexico,2010,0-10,1
New Mexico,2005,41-50,1
Michigan,2005,31-40,15
Tennessee,2009,31-40,5
New Mexico,2005,31-40,3
Pennsylvania,2009,21-30,22
California,2014,21-30,47
Georgia,2007,71-80,2
Michigan,2012,above 90,6
Washington,2009,51-60,2
Missouri,2014,41-50,6
Arkansas,2009,71-80,1
Oklahoma,2013,61-70,1
Alabama,2008,0-10,1
Colorado,2004,above 90,2
Nevada,2013,0-10,1
Mississippi,2008,above 90,1
Florida,2012,41-50,16
Georgia,2014,51-60,1
Tennessee,2005,61-70,1
Texas,2014,21-30,44
Mississippi,2007,21-30,5
Connecticut,2004,above 90,1
New Jersey,2013,above 90,4
New Jersey,2007,51-60,2
New York,2012,41-50,10
Delaware,2014,31-40,2
South Carolina,2012,11-20,3
Kentucky,2008,0-10,2
