Mississippi,2004,Female,99,White,Unknown,Male,20,Black
Indiana,2004,Male,27,Asian/Pacific Islander,Unknown,Female,27,Asian/Pacific Islander
California,2004,Male,61,White,Not Hispanic,Unknown,0,Unknown
California,2004,Male,31,White,Hispanic,Male,30,White
Wisconsin,2004,Female,47,Black,Unknown,Unknown,0,Unknown
Florida,2004,Female,43,White,Unknown,Male,22,White
Tennessee,2004,Male,24,Black,Unknown,Male,24,Black
Oklahoma,2004,Female,63,White,Unknown,Male,67,White
New York,2004,Male,39,Black,Unknown,Unknown,0,Unknown
Florida,2004,Male,3,Black,Unknown,Unknown,0,Unknown
Texas,2004,Male,18,White,Hispanic,Male,19,White
District of Columbia,2004,Male,43,Black,Not Hispanic,Unknown,0,Unknown
Louisiana,2004,Male,53,White,Unknown,Unknown,0,Unknown
Mississippi,2004,Male,29,Black,Unknown,Unknown,0,Unknown
California,2004,Male,46,White,Hispanic,Male,31,White
New Jersey,2004,Male,24,Black,Unknown,Unknown,0,Unknown
Arizona,2004,Male,27,White,Hispanic,Male,0,Unknown
North Carolina,2004,Male,27,Black,Unknown,Male,27,Black
Louisiana,2004,Male,55,Black,Unknown,Male,18,Black
Texas,2004,Male,30,Black,Not Hispanic,Unknown,0,Unknown
New Jersey,2004,Female,27,Black,Unknown,Male,45,Black
Florida,2004,Male,7,White,Unknown,Female,45,White
New Jersey,2004,Male,25,Black,Unknown,Male,18,Black
Ohio,2004,Male,29,White,Unknown,Male,25,White
Pennsylvania,2004,Male,30,Black,Not Hispanic,Male,22,Black
Illinois,2004,Male,19,White,Unknown,Male,18,White
Connecticut,2004,Male,47,White,Unknown,Male,45,White
District of Columbia,2004,Male,18,Black,Not Hispanic,Unknown,0,Unknown
Maryland,2004,Male,23,Black,Unknown,Unknown,0,Unknown
California,2004,Male,32,Black,Not Hispanic,Unknown,0,Unknown
Arizona,2004,Male,37,White,Hispanic,Unknown,0,Unknown
New York,2004,Male,0,White,Unknown,Female,16,White
North Carolina,2004,Female,19,White,Unknown,Unknown,0,Unknown
New York,2004,Male,19,Black,Unknown,Unknown,0,Unknown
Washington,2004,Male,70,White,Unknown,Male,35,White
Illinois,2004,Male,29,Black,Unknown,Unknown,0,Unknown
Texas,2004,Male,49,Asian/Pacific Islander,Not Hispanic,Unknown,0,Unknown
Louisiana,2004,Male,22,Black,Unknown,Male,0,Black
Illinois,2004,Female,37,Black,Unknown,Unknown,0,Unknown
California,2004,Male,26,White,Hispanic,Male,20,White
